> 2MASS Tully-Fisher Survey
> Hong, T., Staveley-Smith, L., Masters, K. L., Springob, C. M., 
> acri, L. M., Koribalski, B. S., Jones, D. H., Jarrett, T. H., 
> Crook, A. C. 2013, MNRAS, arXiv:1304.0882
>
> ASCII Table
> Generated by Tao Hong  Sun May 12 2013
>
> Telescope:      Parkes telescope with MX mode
> Beam size:      14.0 [arcminutes]
> Object:         2MASS J00301223-4106041
> RA:               7.5510  (J2000) decimal degrees
> DEC:            -41.1011  (J2000) decimal degrees
> Rest Frequency: 1420.4058 [MHz]
> Bandwidth:      8 [MHz]
> Channels:       1024
> HI Archive at http://ict.icrar.org/2MTF/
>
The spectrum is not baselined. Not smoothed either.i ******
  Frequency     Velocity-HEL    Flux Density ***
     MHz            km/s             mJy     ***
  1378.6486      9080.2606         15.8366
  1378.6564      9078.5103          2.5684
  1378.6642      9076.7599          1.2525
  1378.6720      9075.0096          1.6216
  1378.6798      9073.2593          8.6375
  1378.6876      9071.5090          7.1284
  1378.6954      9069.7587          7.7730
  1378.7033      9068.0085          1.9944
  1378.7111      9066.2582          9.1395
  1378.7189      9064.5080         15.0720
  1378.7267      9062.7578          5.5020
  1378.7345      9061.0076          8.5559
  1378.7423      9059.2575          4.7345
  1378.7501      9057.5073          6.6354
  1378.7579      9055.7572         14.3695
  1378.7658      9054.0071          8.5427
  1378.7736      9052.2571          5.8173
  1378.7814      9050.5070         16.7985
  1378.7892      9048.7570          9.3020
  1378.7970      9047.0070          7.9770
  1378.8048      9045.2570          1.1067
  1378.8126      9043.5070          2.2349
  1378.8205      9041.7570         14.0913
  1378.8283      9040.0071          8.7413
  1378.8361      9038.2572         10.2401
  1378.8439      9036.5073          8.1572
  1378.8517      9034.7574          3.2944
  1378.8595      9033.0075          6.5517
  1378.8673      9031.2577          6.2947
  1378.8751      9029.5079         12.4637
  1378.8830      9027.7581          6.7248
  1378.8908      9026.0083          0.3168
  1378.8986      9024.2585          6.8766
  1378.9064      9022.5088          5.0045
  1378.9142      9020.7591         11.7604
  1378.9220      9019.0094         13.4103
  1378.9298      9017.2597          4.2828
  1378.9376      9015.5101          8.2285
  1378.9455      9013.7604         -1.3647
  1378.9533      9012.0108          4.5445
  1378.9611      9010.2612         10.7647
  1378.9689      9008.5116         11.1221
  1378.9767      9006.7621          7.8655
  1378.9845      9005.0125          9.0190
  1378.9923      9003.2630          8.6518
  1379.0001      9001.5135         -3.5177
  1379.0080      8999.7640          7.4256
  1379.0158      8998.0146         11.2604
  1379.0236      8996.2651         -1.9550
  1379.0314      8994.5157          3.2739
  1379.0392      8992.7663         11.8649
  1379.0470      8991.0169         10.4849
  1379.0548      8989.2675         10.7820
  1379.0626      8987.5182         14.2814
  1379.0705      8985.7689         12.7326
  1379.0783      8984.0196          6.5757
  1379.0861      8982.2703          7.2952
  1379.0939      8980.5210          6.6454
  1379.1017      8978.7718          9.2088
  1379.1095      8977.0226          1.7437
  1379.1173      8975.2734         -5.9701
  1379.1252      8973.5242         -3.2827
  1379.1330      8971.7750          7.6258
  1379.1408      8970.0259          9.9474
  1379.1486      8968.2768          5.7883
  1379.1564      8966.5277         -1.0481
  1379.1642      8964.7786          4.8851
  1379.1720      8963.0295          3.4825
  1379.1798      8961.2805          0.7941
  1379.1877      8959.5314         -1.9258
  1379.1955      8957.7824          4.6314
  1379.2033      8956.0334         -0.9368
  1379.2111      8954.2845          8.7078
  1379.2189      8952.5355          5.5870
  1379.2267      8950.7866         -1.3672
  1379.2345      8949.0377          3.9082
  1379.2423      8947.2888          5.3196
  1379.2502      8945.5399          8.5331
  1379.2580      8943.7911          5.4773
  1379.2658      8942.0423          8.4163
  1379.2736      8940.2935          7.3526
  1379.2814      8938.5447         10.7682
  1379.2892      8936.7959          8.8533
  1379.2970      8935.0472          7.7384
  1379.3048      8933.2984         12.4742
  1379.3127      8931.5497         11.8988
  1379.3205      8929.8010          1.2483
  1379.3283      8928.0524          5.3916
  1379.3361      8926.3037         11.8886
  1379.3439      8924.5551          4.9978
