Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,User_Score,Developer
Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,6.03,94,9.4,KCEJ
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,5.99,94,8.7,Kojima Productions
Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0,2.33,5.95,92,7.6,Square Enix
The Last of Us,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,5.87,95,9.1,Naughty Dog
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,5.82,95,6.8,"SCE/WWS, Media Molecule"
Resident Evil 2,1998,Action,Virgin Interactive,1.88,1.47,2.02,5.82,89,9.2,Capcom
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,0.63,0.67,4.35,5.78,87,8.8,Level 5
Tekken 2,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,5.74,89,8.9,Namco
Destiny,2014,Shooter,Activision,2.49,2.07,0.16,5.64,76,6.1,"Bungie Software, Bungie"
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,3.57,1.55,0,5.64,80,8.9,Traveller's Tales
Cooking Mama,2006,Simulation,505 Games,3.07,1.91,0.07,5.63,67,7.2,Taito Corporation
Tetris,1988,Puzzle,Nintendo,2.97,0.69,1.81,5.58,,,
Super Smash Bros.,1999,Fighting,Nintendo,2.95,0.6,1.97,5.55,,,
Assassin's Creed II,2009,Action,Ubisoft,2.54,1.93,0.21,5.55,91,8.6,Ubisoft Montreal
Assassin's Creed,2007,Adventure,Ubisoft,3.28,1.64,0.07,5.54,81,7.7,Ubisoft Montreal
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,5.49,92,8,Turn 10
Super Mario Advance,2001,Platform,Nintendo,3.14,1.24,0.91,5.49,84,7.8,Nintendo
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,0.47,0.55,4.13,5.48,81,8.7,Capcom
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,5.48,96,8.6,Rocksteady Studios
Grand Theft Auto V,2014,Action,Take-Two Interactive,2.81,2.19,0,5.48,97,7.9,Rockstar North
Mario Kart: Super Circuit,2001,Racing,Nintendo,2.62,1.64,0.99,5.47,93,8.3,Intelligent Systems
Super Mario World,2001,Platform,Nintendo,3.21,1.11,0.95,5.46,,,
Pokemon Stadium,1999,Strategy,Nintendo,3.18,1.24,0.94,5.45,,,
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.07,2.29,0.24,5.42,66,7.1,Traveller's Tales
Call of Duty: World at War,2008,Shooter,Activision,2.73,1.83,0,5.39,85,7.6,Treyarch
Uncharted 4: A Thief's End,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,5.38,93,7.9,Naughty Dog
Dr. Mario,1989,Puzzle,Nintendo,2.18,0.96,2,5.34,,,
Final Fantasy XIII,2009,Role-Playing,Square Enix,1.74,1.21,1.87,5.33,83,7.3,Square Enix
Pokemon Pinball,1999,Misc,Nintendo,3.02,1.12,1.01,5.31,,,
Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,5.3,94,8.9,SquareSoft
Assassin's Creed III,2012,Action,Ubisoft,3.13,1.69,0.03,5.29,84,6.7,Ubisoft
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,5.29,85,6.6,SquareSoft
Donkey Kong 64,1999,Platform,Nintendo,3.33,0.79,1.09,5.27,,,
Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.22,1.55,0.01,5.27,81,5.4,Sledgehammer Games
Minecraft,2014,Misc,Sony Computer Entertainment,2.03,2.37,0,5.26,,,
Assassin's Creed II,2009,Action,Ubisoft,3.11,1.55,0.08,5.26,90,8.8,Ubisoft Montreal
Tomb Raider II,1997,Action,Eidos Interactive,2.3,2.46,0.2,5.24,85,,Core Design Ltd.
Madden NFL 2004,N/A,Sports,Electronic Arts,4.26,0.26,0.01,5.23,94,8.5,EA Tiburon
Tomodachi Life,2013,Simulation,Nintendo,0.97,2.11,1.9,5.23,,,
New Super Mario Bros. U,2012,Platform,Nintendo,2.3,1.34,1.27,5.22,84,8.1,Nintendo
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,5.21,89,8.8,Level 5
Super Mario Bros. 3,2003,Platform,Nintendo,2.93,1.25,0.83,5.2,,,
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,1.21,2.43,1.03,5.19,85,8.6,Level 5
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,2.49,0.98,1.57,5.19,,,
FIFA Soccer 13,2012,Action,Electronic Arts,1.09,3.47,0.03,5.16,90,6.1,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo,2.1,0.74,2.2,5.15,,,
Diablo III,2012,Role-Playing,Activision,2.44,2.16,0,5.14,88,4,Blizzard Entertainment
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,1.98,2.23,0.13,5.13,68,7.6,EA LA
Kirby's Dream Land,1992,Platform,Nintendo,2.71,0.61,1.7,5.13,,,
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,5.12,,,
Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0,5.12,92,8.5,Harmonix Music Systems
Fable III,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,5.1,80,6.5,Lionhead Studios
Mario & Sonic at the Olympic Games,2008,Sports,Sega,1.63,2.45,0.44,5.09,,,
Resident Evil 5,2009,Action,Capcom,1.96,1.41,1.08,5.09,84,7.5,Capcom
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,1.85,1.8,0.95,5.08,90,8,Nintendo
Super Mario Bros.,1999,Platform,Nintendo,3.4,1.3,0.15,5.07,,,
FIFA Soccer 11,2010,Sports,Electronic Arts,0.61,3.28,0.06,5.07,89,8,EA Sports
Resident Evil,1996,Action,Virgin Interactive,2.05,1.16,1.11,5.05,91,9,Capcom
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,1.7,1.99,0.16,5.03,86,8,Rockstar Leeds
Tony Hawk's Pro Skater,1999,Sports,Activision,3.42,1.38,0.02,5.02,92,9.2,Neversoft Entertainment
Warzone 2100,1999,Strategy,Eidos Interactive,2.79,1.89,0,5.01,,,
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,5,,,
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.49,0.01,0.01,4.98,82,8.2,"Neversoft Entertainment, BudCat"
Link's Crossbow Training,2007,Shooter,Nintendo,3.05,1.17,0.29,4.98,68,7.1,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,1.83,1.19,1.54,4.93,,,
Fallout 3,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,4.93,93,8.5,Bethesda Game Studios
Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,4.92,88,8.1,"Naughty Dog, SCE/WWS"
Madden NFL 06,2005,Sports,Electronic Arts,3.98,0.26,0.01,4.91,88,8,EA Sports
Diddy Kong Racing,1997,Racing,Nintendo,2.91,0.99,0.89,4.88,,,
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,0,0,4.87,4.87,,,
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,2.6,1.08,0.81,4.87,,,
Dr. Mario,1990,Puzzle,Nintendo,2.62,0.6,1.52,4.85,,,
StarCraft II: Wings of Liberty,2010,Strategy,Activision,2.57,1.68,0,4.84,93,8.2,Blizzard Entertainment
Assassin's Creed,2007,Adventure,Ubisoft,1.91,2,0.09,4.82,81,7.3,Ubisoft Montreal
God of War III,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,4.8,92,8.7,SCE Santa Monica
Crash Team Racing,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,4.79,88,9,Naughty Dog
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,2.83,1.48,0,4.76,80,5.4,TT Fusion
Driver 2,2000,Action,Atari,2.36,2.1,0.02,4.73,62,7.7,Reflections Interactive
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,4.73,94,8.7,Rocksteady Studios
The Last of Us,2014,Action,Sony Computer Entertainment,1.88,2,0.07,4.71,,,
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,1.73,2.19,0,4.7,,,
Tony Hawk's Pro Skater 2,2000,Sports,Activision,3.05,1.41,0.02,4.68,98,7.7,Neversoft Entertainment
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,1.94,1.95,0.08,4.67,82,8.2,Stormfront Studios
Tomb Raider,1996,Action,Eidos Interactive,2.29,1.97,0.13,4.63,91,8.6,Core Design Ltd.
Animal Crossing: City Folk,2008,Simulation,Nintendo,1.82,1.12,1.32,4.62,73,7.6,Nintendo
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,4.62,86,8.1,Bluepoint Games
The Legend of Zelda: A Link to the Past,1991,Action,Nintendo,2.42,0.91,1.15,4.61,,,
The Legend of Zelda: The Wind Waker,2002,Action,Nintendo,2.6,0.99,0.89,4.6,96,8.9,Nintendo
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.04,1.11,0,4.6,86,8.4,Vicarious Visions
Luigi's Mansion: Dark Moon,2013,Action,Nintendo,1.8,1.39,1.11,4.59,86,8.4,Next Level Games
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,4.57,91,8.2,Turn 10
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,1.87,1.96,0.22,4.53,,,
Madden NFL 2005,2004,Sports,Electronic Arts,4.18,0.26,0.01,4.53,91,7.9,EA Tiburon
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.19,0.91,0.01,4.53,85,7.9,Neversoft Entertainment
Pitfall!,1981,Platform,Activision,4.21,0.24,0,4.5,,,
Madden NFL 07,2006,Sports,Electronic Arts,3.63,0.24,0.01,4.49,84,8.2,EA Sports
Halo 5: Guardians,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,4.48,84,6.4,343 Industries
Spider-Man: The Movie,2002,Action,Activision,2.71,1.51,0.03,4.48,76,7.9,Treyarch
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,4.47,,,
Call of Duty: Infinite Warfare,2016,Shooter,Activision,1.61,2,0.15,4.46,77,3.4,Infinity Ward
God of War,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,4.45,94,8.9,SCE Santa Monica
Splatoon,2015,Shooter,Nintendo,1.54,1.18,1.46,4.43,81,8.5,Nintendo
Nintendo Land,2012,Misc,Nintendo,2.52,1.11,0.46,4.42,77,7.9,Nintendo
