sample_date,site,sampling_point,latitude,longitude,Ca-AA,Mg-AA,Na-AA,K-AA,NO3-N,Alkal,Cl,SO4,NH4-N,PO4-P,DOC,Cnd-L,TDP,TP,Si,Ca-IC,Mg-IC,Na-IC,K-IC,Cnd-F,O2%,O2,Discharge,TSS
#,,,degree,degree,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,milligramsPerLiter,milligramsPerLiter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,microsiemensPerCentimeter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,dimensionless,milligramsPerLiter,litersPerSecond,milligramsPerLiter
2005-08-30,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,75.151634,23.390192,3.8312442,0.9145911,0.014816368,4970.8,4.306992,50.292038,0,2.65625,1.2670238,531,7.3185186,,7.8321333,,,,,576,25.7,2.3,,
2005-06-29,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,76.4161,23.264894,3.8312442,0.90223175,0.030983,4927.157,4.193445,50.006573,,2.5362976,1.0985307,532,8.00894,,7.55652,,,,,475,42.7,3.94,,0
2005-04-05,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,78.23321,23.591402,3.687618,0.8433836,0.014892414,5103.261,4.7452145,50.622303,3.1716926,1.2286229,1.3705597,483,4.0851073,,,,,,,536,56.4,5.85,,
2005-02-08,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,80.02457,23.939362,3.8441148,0.8205973,0,5197.8955,4.554393,44.149563,13.135923,1.0838351,,529,5.2856503,,7.5018344,,,,,438,43.8,5.55,,
2004-10-19,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,81.12936,23.591402,3.8325822,0.8527582,0.01975942,4599.0767,4.74212,49.94774,0.5402231,2.1059544,,446,4.601802,,7.580617,,,,,498,71.6,7.67,,
2004-06-10,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,79.27704,25.322168,3.992273,1.381615,0,4694.122,6.2249236,82.858055,33.126347,2.5231583,,561,7.9652157,,,,,,,573,5,0.45,,
2004-06-10,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,71.47037,22.328978,3.6728914,0.8072358,0,4277.496,4.659253,49.278156,3.712191,1.3189237,,473,6.6376796,,,,,,,541,56.1,5.21,,
2004-04-01,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,78.51525,24.62361,4.0880876,0.94694966,0.011474888,4882.9185,5.9497905,56.039867,24.34807,7.2959185,,369,11.561587,,,,,,,560,,,,
2004-04-01,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,73.77774,23.011497,3.8964586,0.85380703,0.0076096393,5147.214,4.358883,47.381073,4.165823,1.9897959,,346,10.721763,,,,,,,527,,,,
2003-12-04,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,79.71368,23.298233,4.237914,0.8492181,0,4342.287,7.272747,59.20825,18.866558,4.78061,,370,5.30853,,7.1230564,,,,,568,6.1,0.69,,
2003-12-04,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,77.06208,23.122234,4.0670304,0.7449281,0.00551483,4152.47,5.5901446,50.522446,8.465763,1.8470539,,309,4.954628,,,,,,,538,69.2,7.79,,
2003-08-21,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,81.282036,23.473896,4.3062673,0.8492181,0,4715.164,6.3162317,56.610092,19.455557,7.875329,,,,,,,,,,552,6,0.65,,
2003-08-21,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,75.77841,22.513233,4.1353836,0.8045224,0.004352506,3978.549,4.5473685,44.65551,7.7505875,4.2800703,,,,,,,,,,524,33.3,2.98,,
2003-05-22,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,83.79914,24.226458,4.0328536,0.95436585,0,5035.993,6.448443,58.35152,24.33105,6.09375,,577,5.595844,,7.289165,,,,,585,5.4,0.59,,
